fecha,prom
01/01/2021,7862.86
02/01/2021,8081
03/01/2021,8203
04/01/2021,8346.71
05/01/2021,8652.43
06/01/2021,8891.86
07/01/2021,9748.71
08/01/2021,10536.86
09/01/2021,11367.86
10/01/2021,11642.71
11/01/2021,11711.57
12/01/2021,11710.57
13/01/2021,11608.29
14/01/2021,11529.86
15/01/2021,11385
16/01/2021,11081.43
17/01/2021,11003.71
18/01/2021,10929.57
19/01/2021,10695
20/01/2021,10607.43
21/01/2021,10337.43
22/01/2021,10111.86
23/01/2021,10030.43
24/01/2021,9711.43
25/01/2021,9624.71
26/01/2021,9377.29
27/01/2021,9196
28/01/2021,8913.43
29/01/2021,8790.29
30/01/2021,8581.71
31/01/2021,8573.71
01/02/2021,8436
02/02/2021,8334
03/02/2021,8098.71
04/02/2021,8023.43
05/02/2021,7806.71
06/02/2021,7775
07/02/2021,7586.86
08/02/2021,7378.29
09/02/2021,7106.71
10/02/2021,6898.57
11/02/2021,6672.86
12/02/2021,6498.14
13/02/2021,6409.14
14/02/2021,6493
15/02/2021,6222.29
16/02/2021,5680.71
17/02/2021,5441.43
18/02/2021,5492.86
19/02/2021,5597.86
20/02/2021,5581.71
21/02/2021,5505.14
22/02/2021,5813.43
23/02/2021,6309.71
24/02/2021,6612.43
25/02/2021,6692.86
26/02/2021,6292.43
27/02/2021,6224.57
28/02/2021,6147.29
01/03/2021,6038.86
02/03/2021,5921.14
03/03/2021,5874.29
04/03/2021,5759.71
05/03/2021,6160.86
06/03/2021,6073.86
07/03/2021,6038.71
08/03/2021,6095.86
09/03/2021,6189.29
10/03/2021,6166.14
11/03/2021,6276.43
12/03/2021,6270.43
13/03/2021,6473
14/03/2021,6583.71
15/03/2021,6741.71
16/03/2021,6874.29
17/03/2021,6961.57
18/03/2021,6979.29
19/03/2021,7023.71
20/03/2021,7102
21/03/2021,7149.86
22/03/2021,7183.71
23/03/2021,7350.86
24/03/2021,7350.29
25/03/2021,7337.43
26/03/2021,8019.71
27/03/2021,8521.43
28/03/2021,8975.14
29/03/2021,10062.71
30/03/2021,10169.71
31/03/2021,11277.71
01/04/2021,12162.29
02/04/2021,11728.86
03/04/2021,11735.43
04/04/2021,12127.86
05/04/2021,12078.29
06/04/2021,13609.14
07/04/2021,14463.86
08/04/2021,15785.71
09/04/2021,17818.29
10/04/2021,19109
11/04/2021,19867.14
12/04/2021,20691.43
13/04/2021,21567.29
14/04/2021,22012.71
15/04/2021,22200.71
16/04/2021,22963.86
17/04/2021,22921
18/04/2021,23064.57
19/04/2021,23210.86
20/04/2021,23517.14
21/04/2021,23627.86
22/04/2021,23944.57
23/04/2021,23717.71
24/04/2021,24017.86
25/04/2021,23838.57
26/04/2021,23600.29
27/04/2021,23078.86
28/04/2021,22762.57
29/04/2021,22596.43
30/04/2021,21815.86
01/05/2021,21141.86
02/05/2021,20625
03/05/2021,20214.57
04/05/2021,20320.71
05/05/2021,20372.29
06/05/2021,20091.29
07/05/2021,20110.14
08/05/2021,20327.57
09/05/2021,20354.43
10/05/2021,20563.14
11/05/2021,20525.71
12/05/2021,20582.29
13/05/2021,20931.57
14/05/2021,21618.86
15/05/2021,22111
16/05/2021,22792.14
17/05/2021,24406.29
18/05/2021,25773
19/05/2021,27941.14
20/05/2021,29277.29
21/05/2021,30435.14
22/05/2021,31964
23/05/2021,33171.29
24/05/2021,32310
25/05/2021,30746.86
26/05/2021,30139.29
27/05/2021,30881.57
28/05/2021,31415.71
29/05/2021,31082.86
30/05/2021,30589.29
31/05/2021,31378.43
01/06/2021,32914.71
02/06/2021,32860.14
03/06/2021,31604.57
04/06/2021,30425
05/06/2021,29537.29
06/06/2021,28832.86
07/06/2021,27978.57
08/06/2021,27376
09/06/2021,26624.57
10/06/2021,25958.43
11/06/2021,25384.71
12/06/2021,24589
13/06/2021,24107.29
14/06/2021,23978.29
15/06/2021,23424.43
16/06/2021,22870.29
17/06/2021,22320.57
18/06/2021,21381.86
19/06/2021,21035.29
20/06/2021,20657
21/06/2021,18844.71
22/06/2021,18005.71
23/06/2021,18211.57
24/06/2021,18309.14
25/06/2021,18832
26/06/2021,19249.71
27/06/2021,19494
28/06/2021,20891.57
29/06/2021,21274.14
30/06/2021,20610.43
01/07/2021,20141
02/07/2021,19693.14
03/07/2021,19047.29
04/07/2021,18603.71
05/07/2021,18444.86
06/07/2021,18091.29
07/07/2021,17627
08/07/2021,17352.57
09/07/2021,16442.57
10/07/2021,16089.29
11/07/2021,16067.86
12/07/2021,15741
13/07/2021,15517.14
14/07/2021,15556.29
15/07/2021,15276.14
16/07/2021,15668
17/07/2021,15763.57
18/07/2021,15490
19/07/2021,15172.14
20/07/2021,14465.57
21/07/2021,13742
22/07/2021,13199.86
23/07/2021,12965.71
24/07/2021,12809.43
25/07/2021,12891
26/07/2021,12861.14
27/07/2021,13101.14
28/07/2021,13279.86
29/07/2021,13367.71
30/07/2021,13062.14
31/07/2021,12950.71
01/08/2021,12747.43
02/08/2021,12551.43
03/08/2021,12279
04/08/2021,11972.29
05/08/2021,11925.29
06/08/2021,11934.71
07/08/2021,11855.71
08/08/2021,11864
09/08/2021,11720.71
10/08/2021,11372.43
11/08/2021,11038.29
12/08/2021,10978.71
13/08/2021,10253.43
14/08/2021,9736.29
15/08/2021,9391.43
16/08/2021,8456.57
17/08/2021,7850.86
18/08/2021,7617.57
19/08/2021,7221.43
20/08/2021,7176.86
21/08/2021,7134.86
22/08/2021,7028
23/08/2021,7385
24/08/2021,7377.43
25/08/2021,6981.71
26/08/2021,6446.14
27/08/2021,6110
28/08/2021,5800.86
29/08/2021,5671.43
30/08/2021,5560.43
31/08/2021,5362.14
01/09/2021,5124.14
02/09/2021,4810.71
03/09/2021,4598
04/09/2021,4421
05/09/2021,4324.43
06/09/2021,4115.14
07/09/2021,3740.14
08/09/2021,3483.43
09/09/2021,3341.71
10/09/2021,3127.14
11/09/2021,2984.86
12/09/2021,2961.71
13/09/2021,2733.71
14/09/2021,2578.14
15/09/2021,2432.29
16/09/2021,2265.43
17/09/2021,2192.86
18/09/2021,2187.29
19/09/2021,2099.71
20/09/2021,2080.43
21/09/2021,1911.86
22/09/2021,1843.86
23/09/2021,1735.29
24/09/2021,1669.71
25/09/2021,1604.29
26/09/2021,1595.71
27/09/2021,1506.57
28/09/2021,1504.86
29/09/2021,1428
30/09/2021,1414.86
01/10/2021,1374.14
02/10/2021,1358.86
03/10/2021,1333.71
04/10/2021,1254.14
05/10/2021,1167.14
06/10/2021,1136.86
07/10/2021,1057.57
08/10/2021,941.71
09/10/2021,882.29
10/10/2021,874.43
11/10/2021,793.71
12/10/2021,772
13/10/2021,776.29
14/10/2021,814
15/10/2021,900.43
16/10/2021,946.14
17/10/2021,956
18/10/2021,1026.86
19/10/2021,1061
20/10/2021,1047.29
21/10/2021,1074.57
22/10/2021,1078.43
23/10/2021,1090.43
24/10/2021,1110.43
25/10/2021,1160.29
26/10/2021,1176.29
27/10/2021,1214.43
28/10/2021,1221.29
29/10/2021,1219.57
30/10/2021,1210.71
31/10/2021,1211.86
01/11/2021,1194.29
02/11/2021,1183.57
03/11/2021,1152
04/11/2021,1130.71
05/11/2021,1116.14
06/11/2021,1132.71
07/11/2021,1139.14
08/11/2021,1160.57
09/11/2021,1161.86
10/11/2021,1205.14
11/11/2021,1208
12/11/2021,1257
13/11/2021,1280.43
14/11/2021,1280.14
15/11/2021,1298.57
16/11/2021,1337.57
17/11/2021,1335.57
18/11/2021,1377.71
19/11/2021,1364
20/11/2021,1364.43
21/11/2021,1372.29
22/11/2021,1261.43
23/11/2021,1264.57
24/11/2021,1361.86
25/11/2021,1434
26/11/2021,1490.29
27/11/2021,1551.14
28/11/2021,1585.71
29/11/2021,1775.29
30/11/2021,1873.57
01/12/2021,1823.14
02/12/2021,1883.29
03/12/2021,1950.43
04/12/2021,1974.57
05/12/2021,2032.57
06/12/2021,2105.29
07/12/2021,2213.43
08/12/2021,2213.43
09/12/2021,2222.43
10/12/2021,2392.57
11/12/2021,2500.43
12/12/2021,2539.86
13/12/2021,2687.71
14/12/2021,2897.14
15/12/2021,3316.86
16/12/2021,3682.14
17/12/2021,3978.57
18/12/2021,4224
19/12/2021,4464.57
20/12/2021,4725.29
21/12/2021,5408.29
22/12/2021,6308.57
23/12/2021,7473.57
24/12/2021,8992.29
25/12/2021,9423.71
26/12/2021,10047.86
27/12/2021,12180.14
28/12/2021,15689.57
29/12/2021,20105.43
30/12/2021,25398.29
31/12/2021,29881.71
